codturma;sala;dia;inicio;minInicio;fim;minutosFim;
1WISFQ;1;2;10;0;12;0;
1YBM5R;2;3;10;0;12;0;
1ZIN9S;3;4;10;0;12;0;
1JMAGN;4;4;10;0;12;0;
1NL6FU;5;1;10;0;12;0;
17GZJK;101;1;10;0;12;0;
1DNL7L;102;2;10;0;12;0;
1GZZTT;103;3;10;0;12;0;
1IV72M;104;4;10;0;12;0;
1UYBFP;105;1;10;0;12;0;
1P8VUO;201;2;10;0;12;0;
3QTEJH;201;4;10;0;12;0;
3A6KMI;202;3;10;0;12;0;
3MCW6M;204;1;10;0;12;0;
409ODN;205;2;10;0;12;0;
42KITO;204;3;10;0;12;0;
4D42OP;205;4;10;0;12;0;
3MUYIL;2;3;10;0;12;0;
3PMG4G;4;3;10;0;12;0;
1WISFQ;1;3;12;0;14;0;
1YBM5R;2;4;12;0;14;0;
1ZIN9S;3;1;12;0;14;0;
1JMAGN;4;1;12;0;14;0;
1NL6FU;5;2;12;0;14;0;
17GZJK;101;2;12;0;14;0;
1DNL7L;102;3;12;0;14;0;
1GZZTT;103;4;12;0;14;0;
1IV72M;104;1;12;0;14;0;
1UYBFP;105;2;12;0;14;0;
1P8VUO;201;3;12;0;14;0;
3A6KMI;202;4;12;0;14;0;
3MCW6M;204;2;12;0;14;0;
409ODN;205;3;12;0;14;0;
3QTEJH;201;1;15;0;17;0;
3DXMUJ;203;1;15;0;17;0;
3DXMUJ;203;2;15;0;17;0;
42KITO;101;4;15;0;17;0;
4D42OP;101;1;15;0;17;0;
3IO4EK;102;1;15;0;17;0;
3IO4EK;102;2;15;0;17;0;
3MUYIL;204;3;15;0;17;0;
3PMG4G;205;4;15;0;17;0;
