id;unidadeCurricular;professorID
3PMG4G;1;ESTATÍSTICA APLICADA
3QTEJH;2;GRAMÁTICA DA COMUNICAÇÃO
3A6KMI;3;INGLÊS
3DXMUJ;4;INTRODUÇÃO À ALGORITMIA E PROGRAMAÇÃO
3IO4EK;5;MATEMÁTICA I
3MUYIL;6;SISTEMAS DE INFORMAÇÃO
3MCW6M;7;ANÁLISE DE SISTEMAS
409ODN;8;ELETRÓNICA APLICADA
42KITO;9;FÍSICA
4D42OP;10;MATEMÁTICA II
17GZJK;11;ANÁLISE NUMÉRICA
1DNL7L;12;HIDRÁULICA I
1IV72M;13;MATERIAIS E TÉCNICAS DE REABILITAÇÃO
1JMAGN;14;PLANEAMENTO DO TERRITÓRIO
1P8VUO;15;RESISTÊNCIA DE MATERIAIS
1UYBFP;16;ESTATÍSTICA APLICADA
1WISFQ;17;HIDRÁULICA II
1YBM5R;18;MECÂNICA DAS ESTRUTURAS
1ZIN9S;19;TOPOGRAFIA E FOTOGRAMETRIA
1GZZTT;11;BETÃO ARMADO I
1NL6FU;0;FÍSICA DAS CONSTRUÇÕES






