nome;Integer ano;semestre
FÍSICA;1;1
GRAMÁTICA DA COMUNICAÇÃO;1;1
INGLÊS;1;1
INTRODUÇÃO À ENGENHARIA DA CONSTRUÇÃO CIVIL;1;1
MATEMÁTICA I;1;1
MATERIAIS DE CONSTRUÇÃO;1;1
DESENHO TÉCNICO E ASSISTIDO POR COMPUTADOR;1;2
MATEMÁTICA II;1;2
QUÍMICA GERAL;1;2
RESISTÊNCIA DE MATERIAIS;1;2
ANÁLISE NUMÉRICA;2;1
HIDRÁULICA I;2;1
MATERIAIS E TÉCNICAS DE REABILITAÇÃO;2;1
PLANEAMENTO DO TERRITÓRIO;2;1
RESISTÊNCIA DE MATERIAIS II;2;1
ESTATÍSTICA APLICADA;2;2
HIDRÁULICA II;2;2
MECÂNICA DAS ESTRUTURAS;2;2
TOPOGRAFIA E FOTOGRAMETRIA;2;2
BETÃO ARMADO I;3;1
FÍSICA DAS CONSTRUÇÕES;3;1
GESTÃO DE EMPRESAS E DE ESTALEIROS;3;1
MECÂNICA DOS SOLOS;3;1
PROCESSOS DE CONSTRUÇÃO;3;1
BETÃO ARMADO II;3;2
FISCALIZAÇÃO, COORDENAÇÃO E CONTROLO DE OBRAS;3;2
PATOLOGIAS E REABILITAÇÕES DE CONSTRUÇÕES;3;2
PROJETO DE ESPECIALIDADES;3;2
VIAS DE COMUNICAÇÃO;3;2
ESTATÍSTICA APLICADA;1;1
GRAMÁTICA DA COMUNICAÇÃO;1;1
INGLÊS;1;1
INTRODUÇÃO À ALGORITMIA E PROGRAMAÇÃO;1;1
MATEMÁTICA I;1;1
SISTEMAS DE INFORMAÇÃO;1;1
ANÁLISE DE SISTEMAS;1;2
ELETRÓNICA APLICADA;1;2
FÍSICA;1;2
MATEMÁTICA II;1;2
ALGORITMOS E ESTRUTURAS DE DADOS I;2;1
ANÁLISE NUMÉRICA;2;1
ARQUITETURA DE COMPUTADORES;2;1
LINGUAGENS DE PROGRAMAÇÃO I;2;1
SISTEMAS DIGITAIS;2;1
UNIDADES CURRICULARESECT;2;2
ALGORITMOS E ESTRUTURAS DE DADOS II;2;2
HARDWARE E SENSORES;2;2
INVESTIGAÇÃO OPERACIONAL;2;2
LINGUAGENS DE PROGRAMAÇÃO II;2;2
SISTEMAS OPERATIVOS;2;2
BASES DE DADOS;3;1
ENGENHARIA DE SOFTWARE;3;1
LABORATÓRIO DE PROGRAMAÇÃO;3;1
MULTIMÉDIA I;3;1
REDES DE COMPUTADORES I;3;1
LABORATÓRIO DE PROJETO INTEGRADO;3;2
MULTIMÉDIA II;3;2
REDES DE COMPUTADORES II;3;2
SISTEMAS DISTRIBUÍDOS;3;2
