v;w;true;
0;1;false;
1;0;true;
1;2;false;
1;5;false;
2;1;true;
3;22;false;
4;1;true;
4;8;false;
5;1;true;
5;11;false;
6;7;false;
7;11;true;
7;6;true;
8;4;true;
8;9;false;
9;8;true;
9;10;false;
10;9;true;
10;11;true;
11;14;false;
11;5;true;
11;10;false;
11;12;true;
11;13;true;
11;7;true;
12;11;true;
13;27;false;
13;11;true;
14;11;true;
13;14;false;
13;3;true;
14;17;false;
14;15;false;
14;13;true;
15;16;false;
15;14;true;
16;18;true;
16;17;true;
16;15;true;
16;20;false;
17;16;true;
17;19;false;
17;21;false;
17;14;true;
18;13;true;
18;16;true;
19;27;false;
19;17;true;
20;16;true;
21;17;true;
22;13;true;
23;30;false;
23;22;true;
23;26;false;
23;24;false;
24;25;false;
24;23;true;
25;27;true;
25;26;true;
25;24;true;
26;29;false;
26;28;true;
26;25;true;
26;23;true;
27;19;true;
27;25;true;
28;36;true;
28;26;true;
29;26;true;
30;23;true;
31;22;true;
32;31;true;
32;35;false;
32;33;false;
32;37;false;
33;34;false;
33;32;true;
34;33;true;
34;35;true;
34;36;true;
35;34;true;
35;32;true;
36;28;true;
36;34;true;
37;32;true;
