v;w;true
0;1;false
1;4;false
1;2;false
1;3;false
1;0;true
2;1;true
2;13;false
3;1;true
4;10;false
4;1;true
5;6;false
6;5;true
6;10;true
7;8;false
7;10;false
7;3;true
8;9;false
8;7;true
9;10;true
9;8;true
10;6;true
10;12;false
10;4;true
10;11;false
10;9;false
10;7;true
11;10;true
11;19;false
12;10;true
13;2;true
14;17;false
14;15;false
14;13;true
15;16;false
15;14;true
16;19;true
16;21;false
16;17;true
16;15;true
17;18;false
17;20;false
17;16;true
17;14;true
18;17;true
18;28;false
19;11;true
19;16;true
20;17;true
21;16;true
22;13;true
23;24;false
23;22;true
23;26;false
24;25;false
24;23;true
25;30;false
25;28;true
25;26;true
25;24;true
26;27;false
26;29;false
26;25;true
26;23;true
27;26;true
27;36;false
28;18;true
28;25;false
29;26;true
30;25;true
31;22;true
32;33;false
32;35;false
32;31;true
32;37;false
33;34;false
33;32;true
34;36;true
34;35;true
34;33;true
35;34;false
35;32;true
36;27;true
36;34;true
37;32;true
